Accuracy_train_h24_w256_ov64_300s,Loss_train_h24_w256_ov64_300s,Accuracy_train_h36_w256_ov64_300s,Loss_train_h36_w256_ov64_300s,Accuracy_train_h48_w256_ov64_300s,Loss_train_h48_w256_ov64_300s,Accuracy_train_h36-48_w256_ov64_300s,Loss_train_h36-48_w256_ov64_300s,Accuracy_train_h12-24_w128_ov64_40s,Loss_train_h12-24_w128_ov64_40s,Accuracy_train_h24-36_w128_ov64_40s,Loss_train_h24-36_w128_ov64_40s,Accuracy_train_h36-48_w128_ov64_40s,Loss_train_h36-48_w128_ov64_40s,Accuracy_train_h24-36-48_w128_ov64_40s,Loss_train_h24-36-48_w128_ov64_40s,Accuracy_train_h12-24-36-48_w128_ov64_40s,Loss_train_h12-24-36-48_w128_ov64_40s
0.513888903,0.692025224,0.55972225,0.693836833,0.48599724,0.692910617,0.612318859,0.689590529,0.500000007,0.696322933,0.542635654,0.695610399,0.552971564,0.697427427,0.54313232,0.696180155,0.493534481,0.701575483
0.523504287,0.688050591,0.566666695,0.696328819,0.487074373,0.691201632,0.608695668,0.676899199,0.49395605,0.692041058,0.540250443,0.696351542,0.548002374,0.698664358,0.537688434,0.694213101,0.497347479,0.698141433
0.531746045,0.677262017,0.571428601,0.694825164,0.491217769,0.690664538,0.611801258,0.675282193,0.493877558,0.694018892,0.537098557,0.696792871,0.549280164,0.682780743,0.534457996,0.692110121,0.493842363,0.697298403
0.537037049,0.673984063,0.577777807,0.692419179,0.496448058,0.690352201,0.616425137,0.676312693,0.497142865,0.695297396,0.532816533,0.694140482,0.550904379,0.680475481,0.538358452,0.693991752,0.497701148,0.697016346
0.539062513,0.675992686,0.577083364,0.685936689,0.497182349,0.689369556,0.61775364,0.682185482,0.500000009,0.695352927,0.529069763,0.693108872,0.555232545,0.674048863,0.533919591,0.693431038,0.494612068,0.696739044
0.541666678,0.672507546,0.574509835,0.684279999,0.49999997,0.689632921,0.618073334,0.680290587,0.502941186,0.694704519,0.531235744,0.690089836,0.562699484,0.676188234,0.530889736,0.694920617,0.493407707,0.697504415
0.543981491,0.667262548,0.581481513,0.685288466,0.502732209,0.689996994,0.610305975,0.687043014,0.504365088,0.692967163,0.527993103,0.689574023,0.560292838,0.673022495,0.526242316,0.69827141,0.489942527,0.696155177
0.548976617,0.666920471,0.589473715,0.682651921,0.503666923,0.692211835,0.615560657,0.685967546,0.503007528,0.694251509,0.525907786,0.690032426,0.567931443,0.6645167,0.524464421,0.702234974,0.490471868,0.6983354
0.549305566,0.663725734,0.589166698,0.680211228,0.506557347,0.691452163,0.619565234,0.678506017,0.50142858,0.692340773,0.524806195,0.687998456,0.567054252,0.670701909,0.522864315,0.701950493,0.487931034,0.698342654
0.552910063,0.65862306,0.592063523,0.680628808,0.507025731,0.691309321,0.62180816,0.67245503,0.500000009,0.692097289,0.521963818,0.688996412,0.573643399,0.671014686,0.520459433,0.700907594,0.488505747,0.697456769
0.554292938,0.664984348,0.597727304,0.681244674,0.508755558,0.693531343,0.625164707,0.664548915,0.502922085,0.689287159,0.521141643,0.686366309,0.578928811,0.68887985,0.517587933,0.699650767,0.486677116,0.699187192
0.557971023,0.663927788,0.600000032,0.680842091,0.510869535,0.69225692,0.628859499,0.66004446,0.501863362,0.691840545,0.518368717,0.686765163,0.577013807,0.683122438,0.519554286,0.698571081,0.485007496,0.695947043
0.561921305,0.657346264,0.602777809,0.675444635,0.512636583,0.693563456,0.631038663,0.655770118,0.499404769,0.691485018,0.515826869,0.685635842,0.581718334,0.682837086,0.516959791,0.700918419,0.483836206,0.698190436
0.565000008,0.656854918,0.605333364,0.673675404,0.510491775,0.694146805,0.633043494,0.646619817,0.499428579,0.687815056,0.516279066,0.684539633,0.582015492,0.689288626,0.515175872,0.701348872,0.480689654,0.698006158
0.566773512,0.653017537,0.60897439,0.679095202,0.511349278,0.694391588,0.635451521,0.648273483,0.498901106,0.686885332,0.516696478,0.684673795,0.585867608,0.689956035,0.515268644,0.700181234,0.477122015,0.694952405
0.567901242,0.653922394,0.611111142,0.684220506,0.512902219,0.693352289,0.639291481,0.647692454,0.497619055,0.683374429,0.517370081,0.685758251,0.589721491,0.679363372,0.512935039,0.697801661,0.479246487,0.697143411
0.569940483,0.651143478,0.613690508,0.684576652,0.513173275,0.693038366,0.642857158,0.643457152,0.49540817,0.682698062,0.517718713,0.68478007,0.592192679,0.668845666,0.51220387,0.696857197,0.478756157,0.697316314
0.571839087,0.652048236,0.616666699,0.681601674,0.513284314,0.693445136,0.646176926,0.647101609,0.495320204,0.680845511,0.517241377,0.684510862,0.595028056,0.67010592,0.510830006,0.697783441,0.478894173,0.695936571
