Accuraccy_train_h24-28-32_w200_ov64_120-500s,Loss_train_h24-28-32_w200_ov64_120-500s,Accuraccy_train_h24-30-36_w200_ov64_120s-500s,Loss_train_h24-30-36_w200_ov64_120s-500s,Accuraccy_train_h28-30-32_w200_ov64_120-500s,Loss_train_h28-30-32_w200_ov64_120-500s,Accuraccy_train_h28-32-36_w200_ov64_120s-500s,Loss_train_h28-32-36_w200_ov64_120s-500s,Accuraccy_train_h32-34-36_w200_ov64_120-500s,Loss_train_h32-34-36_w200_ov64_120-500s,Accuraccy_train_h38-40-42_w200_ov64_120s-500s,Loss_train_h38-40-42_w200_ov64_120s-500s,Accuraccy_train_h42-44-46_w200_ov64_120s-500s,Loss_train_h42-44-46_w200_ov64_120s-500s,Accuraccy_train_h24-28-32-36_w200_ov64_120-500s,Loss_train_h24-28-32-36_w200_ov64_120-500s,Accuraccy_train_h30-32-34-36_w200_ov64_120s-500s,Loss_train_h30-32-34-36_w200_ov64_120s-500s
0.649516288,0.618567838,0.644213367,0.608469246,0.682536667,0.651965426,0.673826874,0.567772042,0.636791546,0.626752954,0.577093968,0.637777362,0.591420548,0.662635478,0.677168296,0.557194625,0.647247818,0.64648798
0.649809882,0.618280145,0.644005088,0.613177538,0.681965157,0.652183392,0.674242422,0.567125823,0.637248737,0.625933719,0.577659548,0.637694309,0.590625014,0.662176482,0.677407396,0.557758559,0.648011388,0.647728847
0.649814576,0.617965451,0.644242868,0.615454599,0.682513342,0.652827051,0.674772413,0.567919986,0.636702022,0.622665056,0.578867848,0.637987578,0.590672167,0.662210779,0.67800639,0.559213456,0.648615812,0.64559201
0.650282849,0.617626606,0.644848169,0.617449624,0.682502107,0.655837805,0.675351069,0.57215411,0.636168642,0.619016708,0.579916942,0.637714421,0.590379417,0.66064965,0.678771443,0.558673581,0.649205494,0.644154246
0.650648216,0.616978021,0.645500354,0.616463826,0.682311318,0.657050922,0.675915782,0.572544507,0.6367379,0.617455683,0.581261188,0.639569055,0.591030803,0.659524125,0.679696553,0.560089544,0.649552781,0.644500804
0.650552232,0.615063857,0.645954796,0.613911104,0.682717349,0.653015989,0.675986049,0.572704451,0.637293605,0.617864624,0.582573428,0.637794786,0.591865093,0.658754551,0.680158719,0.560066906,0.649576143,0.645989703
0.650995299,0.614664187,0.645618233,0.611949222,0.683113826,0.650490578,0.675401067,0.576878263,0.637008566,0.616264516,0.583479322,0.639384571,0.592614392,0.659125344,0.68104574,0.560259399,0.650311968,0.643824238
0.651428062,0.613034298,0.645942083,0.611445171,0.683616783,0.646749946,0.676004226,0.579701166,0.637080746,0.615368445,0.584673402,0.63786102,0.594056861,0.658992348,0.681739868,0.557945168,0.650678319,0.643335806
0.65198199,0.613120476,0.646375777,0.610479925,0.683021656,0.643626197,0.676303261,0.580317369,0.637902148,0.616283124,0.585962312,0.638785536,0.594636029,0.657903666,0.682503182,0.556988579,0.650731477,0.643122052
0.652350497,0.612948076,0.646567703,0.612934633,0.682892339,0.64491551,0.67636593,0.580431534,0.637791222,0.617113169,0.586617478,0.637518033,0.594949509,0.657372915,0.682912447,0.557682614,0.651429088,0.64271217
0.65283889,0.612412471,0.647271253,0.610789947,0.68304543,0.641260033,0.676427192,0.581926523,0.63824741,0.618966893,0.587915345,0.638369116,0.595880163,0.657129608,0.683645432,0.55807605,0.652323824,0.641564735
0.653274183,0.611565665,0.647052139,0.607829315,0.683360956,0.640728602,0.676992142,0.582729646,0.63785594,0.620059955,0.587765931,0.637956968,0.596296309,0.656849467,0.684279824,0.557185369,0.652651539,0.641313221
0.653741691,0.612269428,0.647342438,0.608221573,0.683669547,0.640052515,0.676989675,0.581452766,0.6378044,0.621259032,0.588087418,0.636388664,0.596214909,0.65668628,0.685144474,0.557000528,0.653096927,0.639574681
0.654157708,0.613100594,0.64757097,0.605863161,0.683917353,0.639637148,0.677316643,0.581127934,0.637480876,0.620970888,0.589269169,0.634905849,0.596859916,0.655497934,0.685829296,0.557834983,0.653532632,0.639137344
0.654523893,0.612433288,0.64812375,0.604029362,0.684373813,0.637910262,0.677853805,0.583437226,0.637434478,0.619005966,0.588938432,0.636218321,0.597610527,0.654251248,0.686180793,0.557227798,0.653999698,0.637288805
0.654841837,0.611044713,0.648990432,0.606369969,0.684767634,0.637599682,0.678057166,0.582525753,0.637977114,0.618068911,0.588218625,0.634673123,0.598286065,0.654540382,0.687076427,0.556180068,0.654577716,0.635683956
0.654432656,0.609727824,0.649462928,0.605714921,0.684524727,0.634230426,0.678362572,0.582286809,0.638402533,0.618278891,0.588633793,0.63224265,0.598654983,0.654331979,0.687329423,0.555962139,0.65506382,0.633999556
0.654705319,0.60938643,0.64992558,0.605454863,0.684131409,0.63480614,0.678661615,0.582485192,0.638662054,0.616845928,0.589649797,0.630016469,0.599189828,0.654417036,0.68773147,0.557102813,0.655421426,0.632749443
0.655168355,0.609856927,0.650220897,0.604973937,0.68405394,0.6380506,0.678954492,0.581982603,0.638605392,0.617654136,0.59037067,0.632133061,0.599370001,0.654060566,0.688201592,0.55688512,0.656162161,0.632854485
